| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_retrace_nested_scripted_modules | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_device | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_device_cuda | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_profiler__record_function | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_container_output | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_script_object | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_device_cuda | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_raise_exception | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_contains | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_func_without_param | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___isnot__ | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_len | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_nn_module_with_nested_if_and_buffer | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_get_tensor_constants | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_dtype | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_convert_quantized_model1 | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_custom_op | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_if_basic | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___not__ | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_nn_module_with_nested_if_and_param | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_tensor_dtype_int | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_hidden_input_name | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_max | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_convert_quantized_model_with_opcontext | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_convert_quantized_model_with_opcontext_and_constant | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_unpack | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_if_duplicate_attr_names | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_add_t | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_tensor_dynamic | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_nn_module_with_nested_param | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_min | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_convert_quantized_model_with_opcontext_and_constant | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_implicit_constant_to_tensor_handling | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_multi_outputs_on_call_ops | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_SetAttr | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_tolist | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_basic | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
